Loyalty Number,total_flights,total_distance,total_pts_acc,total_pts_red,total_cost_redeemed,months_with_flights,total_months_obs,recency_months,activity_rate,redemption_rate,h1_monthly_avg,h2_monthly_avg,activity_trend,seasonal_concentration,flights_q1,flights_q2,flights_q3,flights_q4,avg_flights_last6m,Province,Gender,Education,Salary_imputed,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,churned_formal,churned_behavioral,enrollment_date,tenure_months,loyalty_card_enc,gender_enc,enrolled_standard,churn_probability,risk_tier,risk_rank,cluster,segment
100753,51,64171,64171.0,750,135,16,24,3.0,0.6667,0.0117,3.0,1.8333,-1.1667,0.3137,14,16,13,8,0.5,Quebec,Male,Bachelor,47717.0,Divorced,Star,2534.31,Standard,2015,10,,0,0,2015-10-01,38,0,0,1,0.0001,Medium,0.6197347194837785,4,Loyal Frequent Fliers
100816,31,47653,47653.0,0,0,14,24,0.0,0.5833,0.0,1.3333,1.2778,-0.0555,0.4194,13,0,10,8,2.1667,Ontario,Female,Master,97497.0,Divorced,Aurora,6273.91,Standard,2013,3,,0,0,2013-03-01,69,2,1,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
100853,39,47403,47403.0,579,104,13,24,1.0,0.5417,0.0122,2.6667,1.2778,-1.3889,0.3846,6,15,9,9,2.3333,Ontario,Male,College,73135.0,Married,Star,10153.89,Standard,2016,1,,0,0,2016-01-01,35,0,0,1,0.0001,Medium,0.6197347194837785,4,Loyal Frequent Fliers
100883,34,53659,53659.0,0,0,12,24,0.0,0.5,0.0,0.6667,1.6667,1.0,0.3824,4,7,13,10,2.3333,Manitoba,Female,College,73135.0,Single,Star,3561.04,Standard,2013,6,,0,0,2013-06-01,66,0,1,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
100890,27,39394,39394.0,1612,290,13,24,0.0,0.5417,0.0409,1.1667,1.1111,-0.0556,0.3704,5,6,10,6,2.0,Ontario,Female,College,73327.0,Divorced,Nova,8007.4,Standard,2014,8,,0,0,2014-08-01,52,1,1,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
101018,41,71919,71919.0,1186,214,16,24,1.0,0.6667,0.0165,1.5,1.7778,0.2778,0.3171,7,12,9,13,1.5,Ontario,Female,Bachelor,56523.0,Married,Nova,4392.98,Standard,2014,4,,0,0,2014-04-01,56,1,1,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
101148,30,47570,47570.0,714,129,11,24,0.0,0.4583,0.015,2.3333,0.8889,-1.4444,0.3333,10,8,3,9,0.8333,British Columbia,Female,High School or Below,45229.0,Single,Nova,4770.55,Standard,2012,11,,0,0,2012-11-01,73,1,1,1,0.0001,Medium,0.6197347194837785,4,Loyal Frequent Fliers
101356,0,0,0.0,0,0,0,24,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,Ontario,Male,Bachelor,50688.0,Married,Nova,7482.64,Standard,2012,11,,0,0,2012-11-01,73,1,0,1,0.0002,High,0.8719005795542809,3,At-Risk Inactives
101363,31,50697,50697.0,1760,317,11,24,0.0,0.4583,0.0347,0.5,1.5556,1.0556,0.3226,3,8,10,10,1.3333,New Brunswick,Female,Bachelor,59310.0,Married,Star,12898.59,Standard,2016,4,,0,0,2016-04-01,32,0,1,1,0.0,Low,0.2349286013025034,1,New Engagers II
101487,56,72589,72589.0,2912,525,20,24,0.0,0.8333,0.0401,3.1667,2.0556,-1.1111,0.2857,10,16,16,14,3.3333,Quebec,Male,Bachelor,91817.0,Married,Aurora,14024.36,Standard,2012,12,,0,0,2012-12-01,72,2,0,1,0.0001,Medium,0.6197347194837785,4,Loyal Frequent Fliers
101515,29,50433,50433.0,2043,368,12,24,1.0,0.5,0.0405,1.8333,1.0,-0.8333,0.3448,4,10,8,7,1.5,New Brunswick,Male,Bachelor,68711.0,Married,Nova,7737.27,Standard,2014,1,,0,0,2014-01-01,59,1,0,1,0.0001,Medium,0.6197347194837785,4,Loyal Frequent Fliers
101540,30,49094,49094.0,931,168,12,24,0.0,0.5,0.019,1.0,1.3333,0.3333,0.3333,4,10,7,9,1.8333,Ontario,Female,Bachelor,69020.0,Single,Star,2688.88,Standard,2017,5,,0,0,2017-05-01,19,0,1,1,0.0,Low,0.2349286013025034,1,New Engagers II
101544,40,61432,61432.0,1722,310,15,24,0.0,0.625,0.028,1.6667,1.6667,0.0,0.375,8,15,5,12,1.6667,Quebec,Female,Bachelor,56531.0,Married,Nova,24249.34,Standard,2014,4,,0,0,2014-04-01,56,1,1,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
101547,17,32918,32918.0,576,104,7,24,1.0,0.2917,0.0175,0.0,0.9444,0.9444,0.5294,5,1,9,2,1.8333,Ontario,Female,College,73135.0,Married,Star,5619.69,Standard,2017,10,,0,0,2017-10-01,14,0,1,1,0.0001,Medium,0.6197347194837785,1,New Engagers II
101581,36,49542,49542.0,1104,199,14,24,1.0,0.5833,0.0223,1.0,1.6667,0.6667,0.3611,7,4,12,13,2.1667,Ontario,Male,Bachelor,87781.0,Married,Star,4595.46,Standard,2012,10,,0,0,2012-10-01,74,0,0,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
101594,43,58229,58229.0,1319,237,16,24,0.0,0.6667,0.0227,0.8333,2.1111,1.2778,0.3023,12,7,11,13,2.1667,Ontario,Male,Doctor,239867.0,Divorced,Star,5205.75,Standard,2015,8,,0,0,2015-08-01,40,0,0,1,0.0,Low,0.2349286013025034,1,New Engagers II
101644,2,2974,2974.0,0,0,1,24,0.0,0.0417,0.0,0.0,0.1111,0.1111,1.0,0,0,0,2,0.3333,Ontario,Female,Master,101038.0,Married,Star,8382.63,Standard,2018,11,,0,0,2018-11-01,1,0,1,1,0.0002,High,0.8719005795542809,2,Dormant High-Value
101663,41,60109,60109.0,961,173,15,24,0.0,0.625,0.016,1.0,1.9444,0.9444,0.3659,4,8,14,15,2.0,Ontario,Male,Bachelor,94946.0,Married,Aurora,5129.74,Standard,2016,9,,0,0,2016-09-01,27,2,0,1,0.0,Low,0.2349286013025034,1,New Engagers II
101664,29,40987,40987.0,0,0,14,24,0.0,0.5833,0.0,0.6667,1.3889,0.7222,0.3448,8,7,10,4,1.1667,Nova Scotia,Male,Bachelor,87654.0,Married,Aurora,9002.41,Standard,2013,7,,0,0,2013-07-01,65,2,0,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
101709,38,59596,59596.0,456,82,16,24,4.0,0.6667,0.0077,1.5,1.6111,0.1111,0.3684,9,10,14,5,0.3333,New Brunswick,Female,Bachelor,66733.0,Single,Aurora,8396.61,Standard,2015,9,2018.0,1,0,2015-09-01,39,2,1,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
101768,1,1733,1733.0,0,0,1,24,0.0,0.0417,0.0,0.0,0.0556,0.0556,1.0,0,0,0,1,0.1667,British Columbia,Male,Bachelor,70267.0,Single,Nova,13916.93,Standard,2018,9,,0,0,2018-09-01,3,1,0,1,0.0002,High,0.8719005795542809,2,Dormant High-Value
101876,12,18264,18264.0,1187,214,5,24,6.0,0.2083,0.065,0.0,0.6667,0.6667,0.5,1,6,0,5,0.0,Quebec,Male,College,74123.0,Single,Aurora,4949.53,Standard,2017,10,2018.0,1,0,2017-10-01,14,2,0,1,0.0001,Medium,0.6197347194837785,2,Dormant High-Value
101895,27,47305,47305.0,0,0,13,24,0.0,0.5417,0.0,2.0,0.8333,-1.1667,0.3704,5,8,10,4,1.1667,Ontario,Female,Bachelor,81883.0,Single,Nova,24543.2,Standard,2013,2,,0,0,2013-02-01,70,1,1,1,0.0001,Medium,0.6197347194837785,4,Loyal Frequent Fliers
101902,77,131909,131909.0,1302,235,31,48,0.0,0.6458,0.0099,2.1667,3.5556,1.3889,0.3377,7,25,26,19,2.3333,Ontario,Female,College,74123.0,Married,Aurora,6265.34,Standard,2017,1,,0,0,2017-01-01,23,2,1,1,0.0,Low,0.2349286013025034,1,New Engagers II
101945,39,63004,63004.0,1219,219,16,24,0.0,0.6667,0.0193,2.0,1.5,-0.5,0.359,7,14,7,11,1.8333,Nova Scotia,Male,Bachelor,86098.0,Married,Star,4202.66,Standard,2013,11,,0,0,2013-11-01,61,0,0,1,0.0001,Medium,0.6197347194837785,4,Loyal Frequent Fliers
102168,25,40495,40495.0,0,0,8,24,0.0,0.3333,0.0,0.0,1.3889,1.3889,0.36,1,9,8,7,2.5,Ontario,Female,Bachelor,75265.0,Divorced,Nova,7166.34,Standard,2018,1,,0,0,2018-01-01,11,1,1,1,0.0,Low,0.2349286013025034,1,New Engagers II
102184,45,69058,69058.0,0,0,16,24,0.0,0.6667,0.0,1.8333,1.8889,0.0556,0.3556,8,8,16,13,2.8333,Alberta,Male,Bachelor,76887.0,Married,Star,4923.18,Standard,2016,4,,0,0,2016-04-01,32,0,0,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
102207,25,37889,37889.0,0,0,10,24,3.0,0.4167,0.0,1.6667,0.8333,-0.8334,0.52,6,13,3,3,0.3333,Quebec,Male,Bachelor,86413.0,Divorced,Nova,6960.92,Standard,2012,5,,0,0,2012-05-01,79,1,0,1,0.0002,High,0.8719005795542809,4,Loyal Frequent Fliers
102299,48,59570,59570.0,0,0,16,24,1.0,0.6667,0.0,2.3333,1.8889,-0.4444,0.3542,9,17,17,5,2.3333,Manitoba,Female,College,73135.0,Single,Star,2089.34,Standard,2015,7,,0,0,2015-07-01,41,0,1,1,0.0001,Medium,0.6197347194837785,4,Loyal Frequent Fliers
102308,0,0,0.0,0,0,0,24,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,Quebec,Male,College,73135.0,Single,Star,12866.89,Standard,2018,11,,0,0,2018-11-01,1,0,0,1,0.0002,High,0.8719005795542809,3,At-Risk Inactives
102311,51,83581,83581.0,1396,252,16,24,2.0,0.6667,0.0167,2.3333,2.0556,-0.2777,0.3725,10,18,19,4,1.1667,Ontario,Female,Bachelor,76485.0,Single,Star,7507.46,Standard,2016,10,,0,0,2016-10-01,26,0,1,1,0.0001,Medium,0.6197347194837785,4,Loyal Frequent Fliers
102376,73,79580,119370.0,556,100,6,11,0.0,0.5455,0.0047,0.0,4.0556,4.0556,0.411,0,28,30,15,7.5,Ontario,Male,College,74123.0,Single,Aurora,12765.78,2018 Promotion,2018,3,,0,0,2018-03-01,9,2,0,0,0.0,Low,0.2349286013025034,0,New Engagers
102464,14,17067,17067.0,761,137,8,24,2.0,0.3333,0.0446,0.6667,0.5556,-0.1111,0.5,2,7,0,5,0.5,Quebec,Male,Bachelor,60563.0,Married,Star,2725.68,Standard,2016,7,,0,0,2016-07-01,29,0,0,1,0.0001,Medium,0.6197347194837785,2,Dormant High-Value
102615,2,4556,4556.0,0,0,1,24,2.0,0.0417,0.0,0.0,0.1111,0.1111,1.0,0,0,0,2,0.3333,Saskatchewan,Female,Doctor,51630.0,Married,Aurora,7590.05,Standard,2018,9,,0,0,2018-09-01,3,2,1,1,0.0002,High,0.8719005795542809,2,Dormant High-Value
102726,21,25020,25020.0,1426,256,8,24,0.0,0.3333,0.057,0.0,1.1667,1.1667,0.4286,1,6,5,9,1.6667,Saskatchewan,Male,Bachelor,84147.0,Married,Nova,8044.87,Standard,2017,8,,0,0,2017-08-01,16,1,0,1,0.0,Low,0.2349286013025034,1,New Engagers II
102730,27,41890,41890.0,0,0,9,24,0.0,0.375,0.0,0.0,1.5,1.5,0.3704,2,6,9,10,3.1667,New Brunswick,Male,High School or Below,80919.0,Single,Star,2453.57,Standard,2017,12,,0,0,2017-12-01,12,0,0,1,0.0,Low,0.2349286013025034,1,New Engagers II
102740,5,8927,8927.0,0,0,2,24,0.0,0.0833,0.0,0.0,0.2778,0.2778,1.0,0,0,0,5,0.8333,Ontario,Female,Bachelor,100571.0,Married,Star,16922.13,Standard,2018,6,,0,0,2018-06-01,6,0,1,1,0.0002,High,0.8719005795542809,2,Dormant High-Value
102788,84,135657,203485.5,0,0,8,11,0.0,0.7273,0.0,0.0,4.6667,4.6667,0.5,5,16,42,21,10.5,Quebec,Male,Bachelor,31170.0,Single,Nova,11124.21,2018 Promotion,2018,3,,0,0,2018-03-01,9,1,0,0,0.0001,Medium,0.6197347194837785,0,New Engagers
102851,39,53975,53975.0,1247,224,16,24,1.0,0.6667,0.0231,1.5,1.6667,0.1667,0.3333,10,13,9,7,0.8333,British Columbia,Female,Bachelor,60216.0,Single,Star,19435.63,Standard,2014,8,,0,0,2014-08-01,52,0,1,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
102877,45,75358,75358.0,908,163,14,24,3.0,0.5833,0.012,2.8333,1.5556,-1.2777,0.4444,6,20,14,5,1.3333,Ontario,Female,College,73327.0,Married,Nova,2863.04,Standard,2014,7,,0,0,2014-07-01,53,1,1,1,0.0001,Medium,0.6197347194837785,4,Loyal Frequent Fliers
102982,29,34835,34835.0,0,0,10,24,0.0,0.4167,0.0,0.3333,1.5,1.1667,0.5517,2,5,16,6,2.8333,British Columbia,Male,Bachelor,84442.0,Married,Aurora,5235.57,Standard,2016,11,,0,0,2016-11-01,25,2,0,1,0.0001,Medium,0.6197347194837785,1,New Engagers II
103043,43,66356,66356.0,449,81,16,24,0.0,0.6667,0.0068,3.0,1.3889,-1.6111,0.3023,11,13,13,6,1.6667,Ontario,Male,Bachelor,97920.0,Married,Star,3351.21,Standard,2018,12,,0,0,2018-12-01,0,0,0,1,0.0001,Medium,0.6197347194837785,4,Loyal Frequent Fliers
103151,31,52486,52486.0,912,164,15,24,0.0,0.625,0.0174,1.3333,1.2778,-0.0555,0.3226,5,7,9,10,1.5,British Columbia,Female,Bachelor,64962.0,Married,Aurora,32613.69,Standard,2013,5,,0,0,2013-05-01,67,2,1,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
103217,36,56399,56399.0,0,0,11,24,0.0,0.4583,0.0,1.0,1.6667,0.6667,0.3056,9,7,9,11,2.0,Quebec,Male,College,73135.0,Single,Star,6439.33,Standard,2013,10,,0,0,2013-10-01,62,0,0,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
103304,37,62563,62563.0,947,170,17,24,1.0,0.7083,0.0151,0.8333,1.7778,0.9445,0.4324,7,4,16,10,1.5,Alberta,Male,Bachelor,67227.0,Married,Star,2683.47,Standard,2013,10,,0,0,2013-10-01,62,0,0,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
103340,44,62122,62122.0,0,0,13,24,2.0,0.5417,0.0,2.3333,1.6667,-0.6666,0.4545,2,15,20,7,1.6667,British Columbia,Male,College,73135.0,Single,Star,7577.07,Standard,2017,3,,0,0,2017-03-01,21,0,0,1,0.0001,Medium,0.6197347194837785,4,Loyal Frequent Fliers
103352,0,0,0.0,0,0,0,24,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,Quebec,Male,Bachelor,69742.0,Married,Aurora,5555.49,Standard,2014,11,2015.0,1,0,2014-11-01,49,2,0,1,0.0002,High,0.8719005795542809,3,At-Risk Inactives
103359,53,82249,82249.0,564,102,18,24,0.0,0.75,0.0069,2.0,2.2778,0.2778,0.3019,16,10,14,13,3.5,British Columbia,Female,College,73135.0,Single,Star,4502.87,Standard,2016,3,,0,0,2016-03-01,33,0,1,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
103362,3,4485,4485.0,0,0,1,24,1.0,0.0417,0.0,0.0,0.1667,0.1667,1.0,0,0,0,3,0.5,Quebec,Male,College,73135.0,Single,Star,4807.0,Standard,2018,10,,0,0,2018-10-01,2,0,0,1,0.0002,High,0.8719005795542809,2,Dormant High-Value
103383,0,0,0.0,0,0,0,24,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,Ontario,Male,Doctor,65018.0,Married,Aurora,13466.92,Standard,2015,6,2016.0,1,0,2015-06-01,42,2,0,1,0.0002,High,0.8719005795542809,3,At-Risk Inactives
103436,49,86455,86455.0,902,162,17,24,0.0,0.7083,0.0104,1.1667,2.3333,1.1666,0.4082,9,8,20,12,2.5,Quebec,Male,Bachelor,67445.0,Single,Star,5015.01,Standard,2013,5,,0,0,2013-05-01,67,0,0,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
103490,45,74308,74308.0,0,0,16,24,0.0,0.6667,0.0,1.5,2.0,0.5,0.2889,9,12,11,13,2.5,British Columbia,Male,High School or Below,65543.0,Single,Nova,17651.96,Standard,2013,7,,0,0,2013-07-01,65,1,0,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
103502,18,30244,30244.0,344,62,8,24,0.0,0.3333,0.0114,0.0,1.0,1.0,0.5556,0,4,10,4,1.0,Ontario,Male,Bachelor,66226.0,Married,Star,2580.85,Standard,2017,5,,0,0,2017-05-01,19,0,0,1,0.0001,Medium,0.6197347194837785,1,New Engagers II
103536,59,80954,80954.0,539,97,19,24,0.0,0.7917,0.0067,2.3333,2.5,0.1667,0.3559,12,18,8,21,2.0,British Columbia,Female,College,73327.0,Married,Nova,9202.64,Standard,2012,10,,0,0,2012-10-01,74,1,1,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
103699,24,36719,36719.0,0,0,8,24,0.0,0.3333,0.0,0.0,1.3333,1.3333,0.3333,6,5,5,8,2.1667,Alberta,Male,Bachelor,86388.0,Single,Nova,5595.39,Standard,2018,1,,0,0,2018-01-01,11,1,0,1,0.0,Low,0.2349286013025034,1,New Engagers II
103731,33,53860,53860.0,489,88,13,24,1.0,0.5417,0.0091,2.0,1.1667,-0.8333,0.4545,15,10,4,4,0.6667,Manitoba,Female,Bachelor,90487.0,Married,Nova,4015.34,Standard,2016,1,,0,0,2016-01-01,35,1,1,1,0.0001,Medium,0.6197347194837785,4,Loyal Frequent Fliers
103758,18,27295,27295.0,0,0,5,24,0.0,0.2083,0.0,0.0,1.0,1.0,0.7222,0,0,13,5,3.0,British Columbia,Female,Bachelor,103461.0,Single,Star,14727.51,Standard,2018,6,,0,0,2018-06-01,6,0,1,1,0.0002,High,0.8719005795542809,1,New Engagers II
103823,42,57809,57809.0,1014,183,16,24,0.0,0.6667,0.0175,1.8333,1.7222,-0.1111,0.2857,10,9,11,12,1.5,Ontario,Female,High School or Below,52820.0,Married,Nova,4812.53,Standard,2014,10,,0,0,2014-10-01,50,1,1,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
103860,40,65428,65428.0,1794,322,17,24,2.0,0.7083,0.0274,1.6667,1.6667,0.0,0.375,8,15,10,7,1.0,Ontario,Male,Bachelor,75348.0,Married,Nova,3358.53,Standard,2014,5,,0,0,2014-05-01,55,1,0,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
103862,37,69191,69191.0,2686,482,14,24,0.0,0.5833,0.0388,0.8333,1.7778,0.9445,0.4595,4,11,17,5,2.0,Ontario,Female,Doctor,299560.0,Married,Star,4878.83,Standard,2013,7,,0,0,2013-07-01,65,0,1,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
103916,36,54436,54436.0,892,160,13,24,0.0,0.5417,0.0164,1.8333,1.3889,-0.4444,0.3056,11,6,9,10,1.5,Alberta,Female,High School or Below,60894.0,Married,Star,3803.92,Standard,2014,3,,0,0,2014-03-01,57,0,1,1,0.0001,Medium,0.6197347194837785,4,Loyal Frequent Fliers
103969,33,46744,46744.0,1131,203,14,24,0.0,0.5833,0.0242,1.6667,1.2778,-0.3889,0.3333,7,11,11,4,0.8333,Ontario,Male,Bachelor,52405.0,Married,Aurora,31410.93,Standard,2015,4,,0,0,2015-04-01,44,2,0,1,0.0001,Medium,0.6197347194837785,4,Loyal Frequent Fliers
103970,45,56234,56234.0,0,0,17,24,0.0,0.7083,0.0,1.3333,2.0556,0.7223,0.3333,13,8,9,15,2.1667,British Columbia,Female,Doctor,221857.0,Married,Aurora,8257.67,Standard,2015,10,,0,0,2015-10-01,38,2,1,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
103975,15,18061,18061.0,1102,198,4,24,0.0,0.1667,0.061,0.0,0.8333,0.8333,0.6667,0,0,5,10,2.5,Ontario,Male,Bachelor,71775.0,Married,Star,2411.26,Standard,2018,8,,0,0,2018-08-01,4,0,0,1,0.0002,High,0.8719005795542809,2,Dormant High-Value
103985,4,6269,6269.0,0,0,3,24,0.0,0.125,0.0,0.0,0.2222,0.2222,0.5,0,0,2,2,0.6667,Ontario,Male,College,73327.0,Single,Nova,2761.69,Standard,2018,9,,0,0,2018-09-01,3,1,0,1,0.0001,Medium,0.6197347194837785,2,Dormant High-Value
104103,32,40470,40470.0,742,134,12,24,4.0,0.5,0.0183,1.5,1.2778,-0.2222,0.4062,2,13,7,10,0.3333,British Columbia,Male,College,73327.0,Married,Nova,8262.88,Standard,2016,5,,0,0,2016-05-01,31,1,0,1,0.0001,Medium,0.6197347194837785,4,Loyal Frequent Fliers
104267,38,61606,92409.0,0,0,5,11,0.0,0.4545,0.0,0.0,2.1111,2.1111,0.7105,0,27,0,11,1.8333,Ontario,Male,Bachelor,28642.0,Married,Star,2701.04,2018 Promotion,2018,3,,0,0,2018-03-01,9,0,0,0,0.0002,High,0.8719005795542809,1,New Engagers II
104353,42,73980,73980.0,526,95,16,24,0.0,0.6667,0.0071,1.8333,1.7222,-0.1111,0.3095,8,10,11,13,1.5,Saskatchewan,Male,Bachelor,104140.0,Married,Star,15777.89,Standard,2014,1,,0,0,2014-01-01,59,0,0,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
