Loyalty Number,months_with_flights,total_flights,total_distance,total_pts_acc,total_pts_red
131321,15,42,67469,67469.0,1228
131342,15,37,58166,58166.0,1112
131463,19,52,76409,76409.0,0
131558,12,38,64237,64237.0,2067
131560,13,33,64288,64288.0,1738
131637,0,0,0,0.0,0
131673,13,41,63575,63575.0,1742
131680,12,30,49651,49651.0,476
131717,0,0,0,0.0,0
131721,13,40,47769,47769.0,1022
131761,14,34,40046,40046.0,2262
131772,14,35,52129,52129.0,512
131815,15,45,67612,67612.0,3982
131893,14,43,74516,74516.0,452
131956,4,11,16572,16572.0,0
131990,14,29,39210,39210.0,612
131997,13,31,54337,54337.0,0
132045,9,32,46018,46018.0,0
132209,15,46,58493,58493.0,0
132296,11,25,32234,32234.0,1517
132319,16,35,46661,46661.0,849
132320,10,28,48847,48847.0,0
132337,13,30,42528,42528.0,0
132552,6,20,23804,23804.0,991
132563,0,0,0,0.0,0
132592,15,39,55935,55935.0,391
132705,20,45,68124,68124.0,1424
132756,11,28,37518,37518.0,704
132774,15,39,60688,60688.0,1095
132884,14,32,44051,44051.0,2561
132914,14,34,34282,34282.0,1270
132928,2,3,2497,2497.0,0
132935,16,46,65880,65880.0,748
133035,13,26,40536,40536.0,0
133065,12,27,40012,40012.0,1275
133066,16,37,60173,60173.0,0
133128,7,53,83893,125839.5,372
133324,9,93,155877,233815.5,892
133429,17,48,84099,84099.0,1139
133463,0,0,0,0.0,0
133518,17,38,46286,46286.0,893
133608,13,34,42821,42821.0,544
133698,15,37,48193,48193.0,692
133730,13,35,47173,47173.0,1441
133732,13,34,46681,46681.0,0
133821,15,38,48500,48500.0,1579
133859,12,31,34941,34941.0,447
133956,7,66,93189,139783.5,0
134000,2,4,9048,9048.0,0
134012,1,5,3085,3085.0,0
134085,15,42,79636,79636.0,2114
134148,10,24,31885,31885.0,591
134180,12,21,33747,33747.0,2206
134202,11,27,35817,35817.0,2110
134241,12,46,76500,76500.0,1006
134273,15,42,57454,57454.0,994
134279,4,12,16236,16236.0,565
134397,11,29,43260,43260.0,607
134470,15,32,41928,41928.0,0
134717,5,23,35884,53826.0,705
134738,15,40,49287,49287.0,1281
134760,14,46,68281,68281.0,0
134827,0,0,0,0.0,0
134847,2,4,7626,7626.0,0
134857,13,29,47268,47268.0,459
135016,15,35,44561,44561.0,1924
135076,11,37,50221,50221.0,710
135134,8,56,52282,78423.0,860
135250,14,34,48296,48296.0,734
135257,6,33,59305,88957.5,0
135279,9,20,26816,26816.0,816
135312,15,39,65660,65660.0,920
135381,16,36,55884,55884.0,1190
135382,18,47,86827,86827.0,3042
135392,19,51,81754,81754.0,511
135421,26,66,93197,93197.0,959
135554,9,28,47795,47795.0,0
135574,10,23,38001,38001.0,0
135578,17,48,86874,86874.0,1981
135635,0,0,0,0.0,0
135808,16,43,66156,66156.0,349
135841,16,47,56723,56723.0,998
135872,1,2,4006,4006.0,0
135878,8,26,35462,35462.0,570
135977,14,29,46542,46542.0,940
136020,16,43,66302,66302.0,553
136022,15,50,79235,79235.0,1681
136049,3,10,15634,15634.0,1473
136065,0,0,0,0.0,0
136089,13,29,39230,39230.0,1001
136106,18,46,58579,58579.0,1476
136121,14,39,62251,62251.0,2117
136169,16,51,72972,72972.0,492
136230,2,3,6265,6265.0,0
136232,16,36,62116,62116.0,1303
136334,14,43,59785,59785.0,0
136345,0,0,0,0.0,0
136430,15,33,53284,53284.0,1718
136464,0,0,0,0.0,0
136470,14,33,52303,52303.0,853
136473,6,48,70599,105898.5,556
136516,17,53,88132,88132.0,922
136547,11,39,62228,62228.0,0
136608,10,22,29791,29791.0,1802
136637,16,45,64732,64732.0,991
136715,12,31,54213,54213.0,1351
136772,4,11,10134,10134.0,658
136879,7,19,23807,23807.0,638
136906,19,50,59148,59148.0,428
137020,3,7,9017,9017.0,0
137040,11,31,55933,55933.0,0
137106,14,25,25178,25178.0,849
137161,7,58,85986,128979.0,0
137185,14,25,39718,39718.0,985
137209,2,7,14366,14366.0,0
137227,12,31,56564,56564.0,1102
137251,2,3,5286,5286.0,547
137383,0,0,0,0.0,0
137529,4,6,8122,8122.0,540
137646,14,34,44388,44388.0,1052
137744,4,18,24258,24258.0,0
137751,12,29,41748,41748.0,1085
137845,19,50,73942,73942.0,1012
137850,16,42,61313,61313.0,497
137852,8,52,59549,89323.5,485
137858,7,21,44913,44913.0,0
137944,13,27,35041,35041.0,1087
137952,14,32,37182,37182.0,0
137968,6,23,32294,32294.0,1082
137973,8,22,37635,37635.0,1110
137985,16,30,42638,42638.0,1000
137999,16,41,55062,55062.0,594
138025,5,13,16987,16987.0,0
138065,4,7,13762,13762.0,0
138121,15,45,66216,66216.0,834
138204,12,29,42542,42542.0,0
138369,13,35,52440,52440.0,651
138421,10,28,39958,39958.0,0
138449,0,0,0,0.0,0
138475,15,36,54485,54485.0,675
138565,13,36,59917,59917.0,0
138653,2,5,10164,10164.0,0
138737,16,44,69587,69587.0,772
138746,10,29,39739,39739.0,995
138759,1,3,7224,7224.0,0
138768,18,59,92229,92229.0,1975
138777,0,0,0,0.0,0
138810,5,18,18634,18634.0,0
138853,6,16,23561,23561.0,500
138873,5,15,21146,21146.0,0
138894,14,50,77997,77997.0,797
138896,18,39,55600,55600.0,708
138908,17,42,72323,72323.0,0
138981,15,38,59128,59128.0,473
138993,10,37,60455,60455.0,521
139022,7,17,30100,30100.0,504
139023,7,54,70570,105855.0,419
139087,16,48,78409,78409.0,2074
139135,13,28,38971,38971.0,1050
139270,0,0,0,0.0,0
139356,0,0,0,0.0,0
139479,6,16,17623,17623.0,0
139511,11,30,45829,45829.0,0
139518,14,43,65672,65672.0,387
139532,14,28,39057,39057.0,1184
139600,2,6,7362,7362.0,694
139682,0,0,0,0.0,0
139699,1,4,8448,8448.0,0
139863,11,30,56645,56645.0,857
139932,16,40,62357,62357.0,589
139974,1,4,6688,6688.0,0
140005,10,29,47212,47212.0,0
140042,0,0,0,0.0,0
140077,7,65,103616,155424.0,468
140079,13,31,43841,43841.0,1958
140130,8,23,34482,34482.0,882
140191,9,19,31799,31799.0,539
140208,16,47,71592,71592.0,0
140223,0,0,0,0.0,0
140290,19,43,69632,69632.0,739
140375,0,0,0,0.0,0
140381,16,51,88034,88034.0,302
140391,10,21,27414,27414.0,0
140392,15,32,45974,45974.0,1185
140419,12,29,33840,33840.0,2054
140483,11,34,48476,48476.0,896
140534,12,28,44466,44466.0,692
140598,13,34,52644,52644.0,964
140674,11,22,30375,30375.0,469
140735,0,0,0,0.0,0
140750,14,35,44922,44922.0,1605
140768,12,29,46601,46601.0,1890
140769,0,0,0,0.0,0
140823,14,45,61158,61158.0,0
140891,15,45,75970,75970.0,0
140977,12,33,55162,55162.0,1305
141023,19,38,60044,60044.0,926
141043,3,4,3958,3958.0,453
141047,11,35,53303,53303.0,901
141139,16,51,84585,84585.0,0
141181,10,21,32035,32035.0,2360
141233,14,38,61627,61627.0,1518
141266,12,30,40754,40754.0,626
141456,6,7,13554,13554.0,1074
141497,4,22,37776,56664.0,0
141614,14,45,64088,64088.0,3070
141655,13,40,51060,51060.0,568
141703,18,51,71380,71380.0,872
141742,8,20,35120,35120.0,466
141844,14,34,63214,63214.0,0
141877,16,44,75621,75621.0,837
141945,14,38,64610,64610.0,585
142122,0,0,0,0.0,0
142190,16,39,57179,57179.0,374
142224,13,35,69555,69555.0,0
142290,6,55,70323,105484.5,0
142354,18,52,82324,82324.0,1037
142371,13,35,52176,52176.0,1289
142434,1,2,4044,4044.0,0
142511,10,25,42766,42766.0,1103
142545,16,46,58476,58476.0,447
142609,5,44,65480,98220.0,0
142621,7,51,60181,90271.5,1179
142649,0,0,0,0.0,0
142686,15,36,53111,53111.0,466
142715,15,37,53305,53305.0,1703
142717,14,39,68135,68135.0,0
142726,6,56,109264,163896.0,346
142749,14,34,45480,45480.0,617
142763,0,0,0,0.0,0
142800,0,0,0,0.0,0
142812,15,36,60457,60457.0,748
142855,10,21,32091,32091.0,1467
142906,14,41,70140,70140.0,1434
142925,4,10,15972,15972.0,0
142950,18,37,51803,51803.0,1090
143087,16,29,41101,41101.0,1161
